     1	19237712.0 19259824.0 19303584.0 19388832.0 19081312.0 19388832.0 19267912.192
     2	14419728.0 14440256.0 14453424.0 14535568.0 14347584.0 14535568.0 14445329.536
     3	9643920.0 9643920.0 9643920.0 9702368.0 9585472.0 9702368.0 9651288.672
     4	43330832.0 43361952.0 43396704.0 43515184.0 43097040.0 43515184.0 43364530.4
