     1	19553184.0 19553184.0 19554240.0 19589184.0 19141584.0 19589184.0 19546452.192
     2	14653440.0 14654496.0 14676336.0 14728080.0 14402640.0 14728080.0 14662254.528
     3	9776592.0 9776592.0 9777120.0 9832128.0 9639744.0 9832128.0 9777762.624
     4	43983216.0 43985856.0 44007168.0 44090592.0 43517280.0 44090592.0 43986469.344
