Running 1m test @ https://4wr6wy8fnf.execute-api.eu-central-1.amazonaws.com/test/node_matrix
  2 threads and 200 connections
  Thread calibration: mean lat.: 75.935ms, rate sampling interval: 578ms
  Thread calibration: mean lat.: 79.797ms, rate sampling interval: 585ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    47.44ms   11.41ms 183.42ms   75.64%
    Req/Sec   100.25     80.87   173.00     62.87%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   46.85ms
 75.000%   54.33ms
 90.000%   60.64ms
 99.000%   79.68ms
 99.900%  126.53ms
 99.990%  168.70ms
 99.999%  183.55ms
100.000%  183.55ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      32.047     0.000000            1         1.00
      36.063     0.100000          990         1.11
      37.247     0.200000         1963         1.25
      38.527     0.300000         2946         1.43
      40.703     0.400000         3928         1.67
      46.847     0.500000         4902         2.00
      48.447     0.550000         5394         2.22
      49.535     0.600000         5880         2.50
      50.815     0.650000         6384         2.86
      52.127     0.700000         6860         3.33
      54.335     0.750000         7355         4.00
      55.775     0.775000         7599         4.44
      56.927     0.800000         7843         5.00
      57.887     0.825000         8085         5.71
      58.751     0.850000         8334         6.67
      59.711     0.875000         8586         8.00
      60.159     0.887500         8710         8.89
      60.639     0.900000         8832        10.00
      61.215     0.912500         8947        11.43
      61.919     0.925000         9067        13.33
      63.071     0.937500         9189        16.00
      63.807     0.943750         9249        17.78
      64.575     0.950000         9311        20.00
      65.919     0.956250         9372        22.86
      67.327     0.962500         9434        26.67
      68.799     0.968750         9494        32.00
      69.887     0.971875         9527        35.56
      70.399     0.975000         9555        40.00
      71.359     0.978125         9586        45.71
      73.791     0.981250         9617        53.33
      75.903     0.984375         9647        64.00
      76.799     0.985938         9663        71.11
      77.887     0.987500         9678        80.00
      79.167     0.989062         9693        91.43
      80.511     0.990625         9709       106.67
      83.711     0.992188         9724       128.00
      86.847     0.992969         9732       142.22
      90.367     0.993750         9739       160.00
      91.327     0.994531         9747       182.86
      99.455     0.995313         9755       213.33
     101.247     0.996094         9762       256.00
     103.039     0.996484         9766       284.44
     107.327     0.996875         9770       320.00
     110.399     0.997266         9774       365.71
     113.535     0.997656         9778       426.67
     120.191     0.998047         9781       512.00
     121.919     0.998242         9783       568.89
     122.495     0.998437         9785       640.00
     123.327     0.998633         9787       731.43
     123.903     0.998828         9789       853.33
     126.719     0.999023         9791      1024.00
     133.375     0.999121         9792      1137.78
     139.903     0.999219         9793      1280.00
     142.591     0.999316         9794      1462.86
     143.231     0.999414         9795      1706.67
     154.495     0.999512         9796      2048.00
     154.495     0.999561         9796      2275.56
     157.311     0.999609         9797      2560.00
     157.311     0.999658         9797      2925.71
     162.047     0.999707         9798      3413.33
     162.047     0.999756         9798      4096.00
     162.047     0.999780         9798      4551.11
     168.703     0.999805         9799      5120.00
     168.703     0.999829         9799      5851.43
     168.703     0.999854         9799      6826.67
     168.703     0.999878         9799      8192.00
     168.703     0.999890         9799      9102.22
     183.551     0.999902         9800     10240.00
     183.551     1.000000         9800          inf
#[Mean    =       47.435, StdDeviation   =       11.414]
#[Max     =      183.424, Total count    =         9800]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  11804 requests in 1.00m, 6.14MB read
Requests/sec:    196.57
Transfer/sec:    104.62KB
