     1	19096368.0 19250656.0 19511312.0 23814512.0 16050112.0 23814512.0 19500190.848
     2	19736688.0 20009456.0 20127936.0 23197888.0 15362400.0 23197888.0 19716300.224
     3	9601632.0 9720112.0 9767504.0 11431696.0 9079792.0 11431696.0 9756610.944
     4	48920720.0 48944416.0 48968112.0 49514960.0 48814352.0 49514960.0 48973102.016
