     1	22109888.0 22135168.0 22159392.0 22220480.0 21808848.0 22220480.0 22115415.008
     2	17691120.0 17714288.0 17727456.0 17792528.0 17569472.0 17792528.0 17711600.288
     3	9992400.0 9999472.0 10005040.0 10023696.0 9944480.0 10023696.0 9999836.832
     4	49817152.0 49846080.0 49868640.0 49982688.0 49410192.0 49982688.0 49826852.128
