name,time,ms,provider,region
latency,1579030781052590889,2018,google,asia-east2
latency,1579030781241101227,329,google,europe-west1
latency,1579030782323837611,580,aws,us-west-2
latency,1579030782714241700,1160,aws,ap-northeast-2
latency,1579030783189650993,362,aws,ap-south-1
latency,1579030783845740415,155,google,europe-west2
latency,1579030783857734072,642,azure,southcentralus
latency,1579030784532307846,183,azure,northeurope
latency,1579030784915706426,555,aws,ap-southeast-1
latency,1579030787012994684,1979,google,asia-east2
latency,1579030787119172238,1696,google,asia-northeast1
latency,1579030788366382598,745,azure,southeastasia
latency,1579030788410268604,895,aws,ap-northeast-2
latency,1579030789373442958,453,azure,southcentralus
latency,1579030789834678423,964,aws,ap-southeast-2
latency,1579030790440284035,566,aws,ap-southeast-1
latency,1579030791100321341,764,aws,ap-northeast-1
latency,1579030791821539739,219,azure,westeurope
latency,1579030792634124448,1691,google,asia-northeast1
latency,1579030792917036234,593,aws,ca-central-1
latency,1579030793511111189,92,aws,eu-central-1
latency,1579030793874856287,737,azure,southeastasia
latency,1579030794124842984,112,aws,eu-west-1
latency,1579030794766460239,387,aws,ap-southeast-2
latency,1579030795380734137,755,azure,westus2
latency,1579030796032901178,146,aws,eu-west-2
latency,1579030796033573686,765,aws,ap-northeast-1
latency,1579030796674557282,137,aws,eu-west-3
latency,1579030796690211499,151,azure,westeurope
latency,1579030797428468890,252,aws,eu-north-1
latency,1579030797586793952,396,aws,ca-central-1
latency,1579030798140726004,52,aws,eu-central-1
latency,1579030798703160792,772,aws,sa-east-1
latency,1579030798805004161,160,aws,eu-west-1
latency,1579030799823667337,517,azure,westus2
latency,1579030799835503173,630,aws,me-south-1
latency,1579030800459086885,133,aws,eu-west-2
latency,1579030801074667904,114,aws,eu-west-3
latency,1579030801332853021,996,aws,ap-east-1
latency,1579030801726497713,150,aws,eu-north-1
latency,1579030802375182493,541,azure,eastus
latency,1579030802932463368,704,aws,sa-east-1
latency,1579030803412658360,535,azure,eastus2
latency,1579030803932705707,499,aws,me-south-1
latency,1579030804153799208,233,azure,uksouth
latency,1579030805099758814,664,aws,ap-east-1
latency,1579030805933963545,1282,ibm,jp-tok
latency,1579030806058275762,458,azure,eastus
latency,1579030806668317142,208,ibm,eu-de
latency,1579030807007603755,445,azure,eastus2
latency,1579030807424932534,255,google,us-central1
latency,1579030807658048870,150,azure,uksouth
latency,1579030808412035297,484,aws,us-east-2
latency,1579030809218362174,304,ibm,eu-gb
latency,1579030809387573056,1227,ibm,jp-tok
latency,1579030810073620272,182,ibm,eu-de
latency,1579030810634408741,912,google,us-east1
latency,1579030810829780892,254,google,us-central1
latency,1579030811301921495,167,aws,us-east-1
latency,1579030811712950777,381,aws,us-east-2
latency,1579030812416675105,200,ibm,eu-gb
latency,1579030812678845185,876,azure,eastasia
latency,1579030813115643272,197,google,us-east1
latency,1579030813799968935,620,ibm,us-south
latency,1579030813963933510,347,aws,us-east-1
latency,1579030814474380688,167,google,us-east4
latency,1579030815257269241,790,azure,eastasia
latency,1579030815521364934,547,aws,us-west-1
latency,1579030816432159547,673,ibm,us-south
latency,1579030816524798506,502,ibm,us-east
latency,1579030817077861125,145,google,us-east4
latency,1579030817141055496,113,google,europe-west1
latency,1579030818138736606,559,aws,us-west-1
latency,1579030818255374137,614,aws,us-west-2
latency,1579030819086387622,446,ibm,us-east
latency,1579030819164709895,407,aws,ap-south-1
latency,1579030819646186933,58,google,europe-west1
latency,1579030819861373021,195,google,europe-west2
latency,1579030820587747598,223,azure,northeurope
latency,1579030820724837512,577,aws,us-west-2
latency,1579030821587611208,359,aws,ap-south-1
latency,1579030822257964017,169,google,europe-west2
latency,1579030822943735199,184,azure,northeurope
latency,1579030823098496646,2006,google,asia-east2
latency,1579030824500633150,900,aws,ap-northeast-2
latency,1579030825493424385,2048,google,asia-east2
latency,1579030825651517242,648,azure,southcentralus
latency,1579030826330354726,333,aws,ap-northeast-2
latency,1579030826716449863,543,aws,ap-southeast-1
latency,1579030827467081923,636,azure,southcentralus
latency,1579030828514626258,545,aws,ap-southeast-1
latency,1579030828953999917,1731,google,asia-northeast1
latency,1579030830188953600,738,azure,southeastasia
latency,1579030830695241962,1678,google,asia-northeast1
latency,1579030831683757007,992,aws,ap-southeast-2
latency,1579030831956284459,718,azure,southeastasia
latency,1579030833183121234,999,aws,ap-northeast-1
latency,1579030833720476316,1262,aws,ap-southeast-2
latency,1579030833871841152,185,azure,westeurope
latency,1579030834907000806,535,aws,ca-central-1
latency,1579030835219328803,996,aws,ap-northeast-1
latency,1579030835491182606,83,aws,eu-central-1
latency,1579030835905282675,184,azure,westeurope
latency,1579030836183297011,191,aws,eu-west-1
latency,1579030836567176184,160,aws,ca-central-1
