cloud,ms
AWS,300
AWS,357
AWS,225
AWS,236
AWS,246
AWS,278
AWS,269
AWS,274
AWS,258
AWS,223
Google,1178
Google,1901
Google,1455
Google,1529
Google,1570
Google,1473
Google,1557
Google,1611
Google,2067
Google,1790
IBM,761
IBM,748
IBM,763
IBM,761
IBM,733
IBM,803
IBM,785
IBM,906
IBM,778
IBM,845
